Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
80,4991007306,Jgo99 (2/2),0,81.700005,C Dylan Larkin C Aatu Raty D Quinn Hughes D Jake McCabe G Darcy Kuemper UTIL Kiefer Sherwood W Alex DeBrincat W Lucas Raymond W Jake DeBrusk,,Yanni Gourde,C,3.18%,1.5
81,4991305566,krausehouse93,0,81.20001,C Auston Matthews C Dylan Larkin D Moritz Seider D Troy Stecher G Darcy Kuemper UTIL Lucas Raymond W Conor Garland W Blake Coleman W Connor Zary,,Chandler Stephenson,C,2.55%,12.3
82,4991348169,jagibbs22 (2/5),0,81.100006,C Morgan Frost C Andrew Copp D Quinn Hughes D Moritz Seider G Dustin Wolf UTIL Matt Coronato W Alex DeBrincat W Patrick Kane W Jonathan Huberdeau,,Zach Benson,W,2.55%,4.5
83,4991354335,jagibbs22 (3/5),0,80.9,C Brayden Point C Andrew Copp D Quinn Hughes D Simon Edvinsson G Filip Gustavsson UTIL Emmitt Finnie W Nikita Kucherov W Jake Guentzel W James van Riemsdyk,,Jonas Brodin,D,2.55%,9.5
84,4990512435,OneDropKing (4/5),0,80.4,C Anze Kopitar C Matty Beniers D Rasmus Dahlin D Vince Dunn G Ukko-Pekka Luukkonen UTIL Jordan Eberle W Tage Thompson W Jared McCann W Alex Tuch,,Max Domi,W,2.55%,1.5
85,4990995635,luckyguesses (1/4),0,80.1,C John Tavares C Anze Kopitar D Morgan Rielly D Adam Larsson G Dustin Wolf UTIL Adrian Kempe W William Nylander W Alex Laferriere W Easton Cowan,,Mikey Anderson,D,2.55%,11.2
86,4990995637,luckyguesses (3/4),0,79.799995,C Josh Norris C Barrett Hayton D Moritz Seider D Mikhail Sergachev G Karel Vejmelka UTIL Dylan Guenther W Tage Thompson W Alex Tuch W Jordan Greenway,,Kevin Fiala,W,2.55%,11.5
87,4990956990,easton136,0,79.700005,C Dylan Larkin C Josh Norris D Moritz Seider D Vince Dunn G Darcy Kuemper UTIL Lucas Raymond W Jordan Eberle W Jason Zucker W Josh Doan,,Marcus Johansson,W,2.55%,11.5
88,4990822540,cw279 (1/2),0,78.9,C Dylan Larkin C Mikael Backlund D Moritz Seider D Charle-Edouard D'Astous G Darcy Kuemper UTIL Alex DeBrincat W Lucas Raymond W Patrick Kane W Blake Coleman,,Michael Carcone,W,2.55%,3
89,4991407205,Nsibell21 (1/2),0,78.7,C Dylan Larkin C Josh Norris D Brock Faber D Darren Raddysh G Darcy Kuemper UTIL Matt Boldy W Lucas Raymond W Josh Doan W Connor Zary,,Nicolas Roy,C,2.55%,0
