Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RW,Josh Anderson (41238305),Josh Anderson,41238305,W/UTIL,2600,CHI@MTL 12/18/2025 07:00PM ET,MTL,5.1
D,Louis Crevier (41238693),Louis Crevier,41238693,D/UTIL,2600,CHI@MTL 12/18/2025 07:00PM ET,CHI,5.42
LW,Ville Koivunen (41238311),Ville Koivunen,41238311,W/UTIL,2600,PIT@OTT 12/18/2025 07:00PM ET,PIT,3.07
D,Parker Wotherspoon (41238701),Parker Wotherspoon,41238701,D/UTIL,2600,PIT@OTT 12/18/2025 07:00PM ET,PIT,5.68
D,Tyler Kleven (41238705),Tyler Kleven,41238705,D/UTIL,2600,PIT@OTT 12/18/2025 07:00PM ET,OTT,5.11
LW,Sam Steel (41238313),Sam Steel,41238313,W/UTIL,2600,DAL@SJS 12/18/2025 10:00PM ET,DAL,4.22
D,Mario Ferraro (41238707),Mario Ferraro,41238707,D/UTIL,2600,DAL@SJS 12/18/2025 10:00PM ET,SJS,6.87
D,Carson Soucy (41238703),Carson Soucy,41238703,D/UTIL,2600,NYR@STL 12/18/2025 08:00PM ET,NYR,5.12
LW,Warren Foegele (41238307),Warren Foegele,41238307,W/UTIL,2600,LAK@TBL 12/18/2025 07:00PM ET,LAK,4.80
D,Max Crozier (41238699),Max Crozier,41238699,D/UTIL,2600,LAK@TBL 12/18/2025 07:00PM ET,TBL,5.75
C,Scott Laughton (41237965),Scott Laughton,41237965,C/UTIL,2600,TOR@WSH 12/18/2025 07:00PM ET,TOR,5.07
D,Rasmus Sandin (41238695),Rasmus Sandin,41238695,D/UTIL,2600,TOR@WSH 12/18/2025 07:00PM ET,WSH,6.82
C,Brendan Gaunce (41237971),Brendan Gaunce,41237971,C/UTIL,2500,MIN@CBJ 12/18/2025 07:00PM ET,CBJ,4.26
C,Luca Pinelli (41237973),Luca Pinelli,41237973,C/UTIL,2500,MIN@CBJ 12/18/2025 07:00PM ET,CBJ,3.43
C,Luca Del Bel Belluz (41237975),Luca Del Bel Belluz,41237975,C/UTIL,2500,MIN@CBJ 12/18/2025 07:00PM ET,CBJ,3.27
C,Nico Sturm (41238063),Nico Sturm,41238063,C/UTIL,2500,MIN@CBJ 12/18/2025 07:00PM ET,MIN,4.72
C,Hunter Haight (41238065),Hunter Haight,41238065,C/UTIL,2500,MIN@CBJ 12/18/2025 07:00PM ET,MIN,0
LW,Isac Lundestrom (41238327),Isac Lundestrom,41238327,W/UTIL,2500,MIN@CBJ 12/18/2025 07:00PM ET,CBJ,2.81
LW,Zach Aston-Reese (41238329),Zach Aston-Reese,41238329,W/UTIL,2500,MIN@CBJ 12/18/2025 07:00PM ET,CBJ,2.72
RW,Mathieu Olivier (41238331),Mathieu Olivier,41238331,W/UTIL,2500,MIN@CBJ 12/18/2025 07:00PM ET,CBJ,5.77
LW,Yakov Trenin (41238525),Yakov Trenin,41238525,W/UTIL,2500,MIN@CBJ 12/18/2025 07:00PM ET,MIN,4.05
RW,Nicolas Aube-Kubel (41238527),Nicolas Aube-Kubel,41238527,W/UTIL,2500,MIN@CBJ 12/18/2025 07:00PM ET,MIN,5.9
RW,Tyler Pitlick (41238529),Tyler Pitlick,41238529,W/UTIL,2500,MIN@CBJ 12/18/2025 07:00PM ET,MIN,2.39
LW,Ben Jones (41238531),Ben Jones,41238531,W/UTIL,2500,MIN@CBJ 12/18/2025 07:00PM ET,MIN,1.60
RW,Vinnie Hinostroza (41238533),Vinnie Hinostroza,41238533,W/UTIL,2500,MIN@CBJ 12/18/2025 07:00PM ET,MIN,3.31
D,Dante Fabbro (41238719),Dante Fabbro,41238719,D/UTIL,2500,MIN@CBJ 12/18/2025 07:00PM ET,CBJ,6.01
D,Brendan Smith (41238721),Brendan Smith,41238721,D/UTIL,2500,MIN@CBJ 12/18/2025 07:00PM ET,CBJ,3.15
D,Jake Christiansen (41238723),Jake Christiansen,41238723,D/UTIL,2500,MIN@CBJ 12/18/2025 07:00PM ET,CBJ,2.16
D,Erik Gudbranson (41238725),Erik Gudbranson,41238725,D/UTIL,2500,MIN@CBJ 12/18/2025 07:00PM ET,CBJ,1.45
D,Luca Marrelli (41238727),Luca Marrelli,41238727,D/UTIL,2500,MIN@CBJ 12/18/2025 07:00PM ET,CBJ,0
D,Dysin Mayo (41238729),Dysin Mayo,41238729,D/UTIL,2500,MIN@CBJ 12/18/2025 07:00PM ET,CBJ,4.5
D,Daemon Hunt (41238899),Daemon Hunt,41238899,D/UTIL,2500,MIN@CBJ 12/18/2025 07:00PM ET,MIN,3.66
D,David Jiricek (41238901),David Jiricek,41238901,D/UTIL,2500,MIN@CBJ 12/18/2025 07:00PM ET,MIN,2.25
D,Zach Bogosian (41238903),Zach Bogosian,41238903,D/UTIL,2500,MIN@CBJ 12/18/2025 07:00PM ET,MIN,3.34
C,Sean Kuraly (41237983),Sean Kuraly,41237983,C/UTIL,2500,EDM@BOS 12/18/2025 07:00PM ET,BOS,4.91
C,Curtis Lazar (41238025),Curtis Lazar,41238025,C/UTIL,2500,EDM@BOS 12/18/2025 07:00PM ET,EDM,2.25
C,David Tomasek (41238027),David Tomasek,41238027,C/UTIL,2500,EDM@BOS 12/18/2025 07:00PM ET,EDM,4.01
C,Noah Philp (41238029),Noah Philp,41238029,C/UTIL,2500,EDM@BOS 12/18/2025 07:00PM ET,EDM,2.84
RW,Marat Khusnutdinov (41238343),Marat Khusnutdinov,41238343,W/UTIL,2500,EDM@BOS 12/18/2025 07:00PM ET,BOS,4.32
LW,Tanner Jeannot (41238345),Tanner Jeannot,41238345,W/UTIL,2500,EDM@BOS 12/18/2025 07:00PM ET,BOS,5.37
LW,Jeffrey Viel (41238347),Jeffrey Viel,41238347,W/UTIL,2500,EDM@BOS 12/18/2025 07:00PM ET,BOS,2.74
LW,Riley Tufte (41238349),Riley Tufte,41238349,W/UTIL,2500,EDM@BOS 12/18/2025 07:00PM ET,BOS,3.95
RW,Mattias Janmark (41238433),Mattias Janmark,41238433,W/UTIL,2500,EDM@BOS 12/18/2025 07:00PM ET,EDM,3.57
RW,Quinn Hutson (41238435),Quinn Hutson,41238435,W/UTIL,2500,EDM@BOS 12/18/2025 07:00PM ET,EDM,1.5
LW,Trent Frederic (41238437),Trent Frederic,41238437,W/UTIL,2500,EDM@BOS 12/18/2025 07:00PM ET,EDM,2.88
